GPUName,DeviceID
GeForce 6500,PCI\VEN_10DE&DEV_0160
GeForce 205,PCI\VEN_10DE&DEV_0A62
GeForce 210,"PCI\VEN_10DE&DEV_0A23
PCI\VEN_10DE&DEV_0A23&SUBSYS_39181642
PCI\VEN_10DE&DEV_0A65"
GeForce 310,"PCI\VEN_10DE&DEV_0A63
PCI\VEN_10DE&DEV_0A66
PCI\VEN_10DE&DEV_0A66&SUBSYS_18371462
PCI\VEN_10DE&DEV_0A66&SUBSYS_18391462
PCI\VEN_10DE&DEV_0A66&SUBSYS_39581642
PCI\VEN_10DE&DEV_0A66&SUBSYS_39981642"
GeForce 310M,"PCI\VEN_10DE&DEV_0A70&SUBSYS_357F103C
PCI\VEN_10DE&DEV_0A70&SUBSYS_84581043
PCI\VEN_10DE&DEV_0A70&SUBSYS_84591043
PCI\VEN_10DE&DEV_0A75&SUBSYS_079810DE"
GeForce 315,"PCI\VEN_10DE&DEV_0A22
PCI\VEN_10DE&DEV_0A22&SUBSYS_39181642
PCI\VEN_10DE&DEV_0A22&SUBSYS_906C1B0A
PCI\VEN_10DE&DEV_0A22&SUBSYS_906D1B0A
PCI\VEN_10DE&DEV_0A67
PCI\VEN_10DE&DEV_0A67&SUBSYS_90751B0A"
GeForce 405,"PCI\VEN_10DE&DEV_0A26
PCI\VEN_10DE&DEV_0A27
PCI\VEN_10DE&DEV_10C5
PCI\VEN_10DE&DEV_10C5&SUBSYS_183B1462
PCI\VEN_10DE&DEV_10C5&SUBSYS_908E1B0A
PCI\VEN_10DE&DEV_10C5&SUBSYS_90A91B0A"
GeForce 410M,PCI\VEN_10DE&DEV_1054&SUBSYS_05111028
GeForce 510,"PCI\VEN_10DE&DEV_1042
PCI\VEN_10DE&DEV_1042&SUBSYS_1214174B
PCI\VEN_10DE&DEV_1042&SUBSYS_1222174B
PCI\VEN_10DE&DEV_1042&SUBSYS_25941462
PCI\VEN_10DE&DEV_1042&SUBSYS_25951462
PCI\VEN_10DE&DEV_1042&SUBSYS_25961462
PCI\VEN_10DE&DEV_1042&SUBSYS_3A981642
PCI\VEN_10DE&DEV_1042&SUBSYS_3B421642"
GeForce 605,"PCI\VEN_10DE&DEV_1048
PCI\VEN_10DE&DEV_1048&SUBSYS_0605174B
PCI\VEN_10DE&DEV_1048&SUBSYS_10141019
PCI\VEN_10DE&DEV_1048&SUBSYS_25971462
PCI\VEN_10DE&DEV_1048&SUBSYS_25981462
PCI\VEN_10DE&DEV_1048&SUBSYS_25991462
PCI\VEN_10DE&DEV_1048&SUBSYS_3A981642
PCI\VEN_10DE&DEV_1048&SUBSYS_3B421642
PCI\VEN_10DE&DEV_1048&SUBSYS_3C261642
PCI\VEN_10DE&DEV_1048&SUBSYS_A601174B"
GeForce 610,PCI\VEN_10DE&DEV_1058&SUBSYS_2AF1103C
GeForce 6100,PCI\VEN_10DE&DEV_0242
GeForce 6100 nForce 400,PCI\VEN_10DE&DEV_03D2
GeForce 6100 nForce 405,PCI\VEN_10DE&DEV_03D1
GeForce 6100 nForce 420,PCI\VEN_10DE&DEV_03D5
GeForce 6100 nForce 430,PCI\VEN_10DE&DEV_03D0
GeForce 610M,"PCI\VEN_10DE&DEV_0DEA&SUBSYS_04881025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_05051025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_05071025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_05091025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_05121025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_055A1025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_06111025
PCI\VEN_10DE&DEV_0DEA&SUBSYS_0D88105B
PCI\VEN_10DE&DEV_0DEA&SUBSYS_0D9A105B
PCI\VEN_10DE&DEV_0DEA&SUBSYS_FF00105B
PCI\VEN_10DE&DEV_1058&SUBSYS_0C9B16F3
PCI\VEN_10DE&DEV_105A&SUBSYS_04881025
PCI\VEN_10DE&DEV_105A&SUBSYS_05051025
PCI\VEN_10DE&DEV_105A&SUBSYS_05071025
PCI\VEN_10DE&DEV_105A&SUBSYS_05121025
PCI\VEN_10DE&DEV_105A&SUBSYS_055A1025
PCI\VEN_10DE&DEV_105A&SUBSYS_05791028
PCI\VEN_10DE&DEV_105A&SUBSYS_06111025
PCI\VEN_10DE&DEV_105A&SUBSYS_06641025
PCI\VEN_10DE&DEV_105A&SUBSYS_093010DE
PCI\VEN_10DE&DEV_105A&SUBSYS_26611462
PCI\VEN_10DE&DEV_105A&SUBSYS_2AF1103C"
GeForce 615,"PCI\VEN_10DE&DEV_0DEA&SUBSYS_365A17AA
PCI\VEN_10DE&DEV_0DEA&SUBSYS_365B17AA
PCI\VEN_10DE&DEV_0DEA&SUBSYS_365E17AA
PCI\VEN_10DE&DEV_0DEA&SUBSYS_366017AA
PCI\VEN_10DE&DEV_0DEA&SUBSYS_366C17AA"
GeForce 6150,PCI\VEN_10DE&DEV_0240
GeForce 6150 LE,"PCI\VEN_10DE&DEV_0241
PCI\VEN_10DE&DEV_0245"
GeForce 6150SE nForce 430,PCI\VEN_10DE&DEV_03D0
GeForce 6200,"PCI\VEN_10DE&DEV_00F3
PCI\VEN_10DE&DEV_014F
PCI\VEN_10DE&DEV_0221"
GeForce 6200 A-LE,PCI\VEN_10DE&DEV_0222
